ID	Name	alias
X25OHD	25-羟基维生素D,D2+D3	25-羟基维生素D,D2+D3;25OHD;
X25OHD2	25-羟基维生素D2	25-羟基维生素D2;25OHD2;
X25OHD3	25-羟基维生素D3	25-羟基维生素D3;25OHD3;
A_G_ratio	白蛋白/球蛋白	白蛋白/球蛋白(A/G);白/球;白/球蛋白比;A/G;白蛋白/球蛋白;
ACTH	促肾上腺皮质激素	促肾上腺皮质激素(ACTH);ACTH;促肾上腺皮质激素;促肾上腺皮质激素（ACTH）;
aHBDH	α-羟丁酸脱氢酶	α-羟丁酸脱氢酶(HBDH);α-羟丁酸脱氢酶;HBDH;ａ-HBD;α-羟丁酸脱氢酶(α-HBDH);羟丁酸脱氢酶;
ALB	白蛋白	白蛋白(ALB);ALB;白蛋白;
ALP	碱性磷酸酶	碱性磷酸酶(ALP);碱性磷酸酶;ALP;
ALT	谷丙转氨酶	谷丙转氨酶(ALT);谷丙转氨酶;丙氨酸氨基转移酶;
APOA1	载脂蛋白A1	载脂蛋白A1(APOA1);载脂蛋白A1;APO-A;APOA1;载脂蛋白A1
APOA1_APOB	载脂蛋白A1/载脂蛋白B	载脂蛋白A1/载脂蛋白B;
APOB	载脂蛋白B	载脂蛋白B(APOB);载脂蛋白B;APO-B;
As	全血砷	全血砷(As);全血砷;
ASO	抗链球菌溶血素O	抗链球菌溶血素O;ASO;抗链球菌溶血素"O"(ASO);抗链球菌溶血素"O";抗溶血素O;抗链球菌溶血素“O”(ASO);
AST	谷草转氨酶	谷草转氨酶(AST);谷草转氨酶;天门冬氨酸氨基转移酶;AST;
AST_ALT	谷草转氨酶/谷丙转氨酶	AST/ALT;谷草转氨酶/谷丙转氨酶;谷草/谷丙;天门冬氨酸/丙氨酸氨基转移酶;
BASc	嗜碱性粒细胞绝对值	嗜碱性粒细胞绝对值;BASO#;BAS#;嗜碱性粒细胞绝对值(BAS#);嗜碱细胞数量;嗜碱细胞数量(BAS#);嗜碱细胞绝对值;嗜碱性粒细胞数量(BAS#);嗜碱性粒细胞细胞绝对值;
BASp	嗜碱性粒细胞百分比	嗜碱性粒细胞百分比;BASO%;BAS%;嗜碱性粒细胞百分比(BAS%);嗜碱细胞百分含量;嗜碱细胞百分含量(BAS%);嗜碱细胞百分比;嗜碱性粒细胞百分含量(BAS%);嗜碱性粒细胞细胞百分比;
C3	补体3	补体3(C3);补体3;C3;补体C3;补体测定C3;
C4	补体4	补体4(C4);补体4;C4;补体C4;补体测定C4;
Ca	全血微量元素钙	全血微量元素钙(Ca);全血钙;
Cd	全血镉	全血镉(Cd);全血镉;
CHE	胆碱脂酶	胆碱酯酶(CHE);胆碱脂酶;胆碱酯酶;
CK	肌酸激酶	肌酸激酶(CK);肌酸激酶;CK;
CKMB	肌酸激酶同工酶MB	肌酸激酶同工酶MB(CK-MB);肌酸激酶同工酶MB;CK-MB;肌酸激酶-同工酶;肌酸激酶MB同功酶;肌酸激酶-同工酶(CK-MB);
CL	血氯	血氯(CL);血氯;Cl;氯;氯(CL);
COR	皮质醇	皮质醇(COR);PZC;皮质醇;COR;血清皮质醇;
Cr	肌酐	肌酐;肌酐(Cr);CR;
CRP	C-反应蛋白	C-反应蛋白(CRP);C-反应蛋白;CRP-B;CRP;C反应蛋白;
Cu	全血微量元素铜	全血微量元素铜(Cu);全血铜;全血微量元素铜;
DBIL	直接胆红素	直接胆红素(DBIL);直接胆红素;DBL;直接胆红素(D-BIL);
EOSc	嗜酸性粒细胞绝对值	嗜酸性粒细胞绝对值;EO#;EOS#;嗜酸性粒细胞绝对值(EOS#);嗜酸细胞数量;嗜酸细胞数量(EOS#);嗜酸细胞绝对值;嗜酸性粒细胞数量(EOS#);
EOSp	嗜酸性粒细胞百分比	嗜酸性粒细胞百分比;EO%;EOS%;嗜酸性粒细胞百分比(EOS%);嗜酸细胞百分含量;嗜酸细胞百分含量(EOS%);嗜酸细胞百分比;嗜酸性粒细胞百分含量(EOS%);
Fe	全血微量元素铁	全血微量元素铁(Fe);全血铁;全血微量元素铁;
GGT	γ-谷氨酰转肽酶	γ-谷氨酰转肽酶(GGT);γ-谷氨酰转肽酶;谷氨酰基转移酶;γ-谷氨酰转移酶;谷氨酰基转移酶(GGT);γ-谷氨酰基转移酶;GGT;
GLOB	球蛋白	球蛋白(GLOB);球蛋白;GLB;球蛋白(GLB);
